radios,mean,stdev,min,max
2,98.76,0.97,95.00,100.00
3,97.54,1.46,90.00,100.00
4,96.31,1.75,89.38,100.00
5,95.07,2.04,86.25,100.00
6,93.93,2.21,84.38,99.69
7,92.76,2.39,81.88,99.69
8,91.57,2.60,79.06,99.06
9,90.45,2.68,79.69,98.75
10,89.27,2.85,76.88,97.81
11,88.15,2.95,76.25,98.12
12,87.09,3.06,73.12,96.88
13,86.00,3.19,73.12,95.62
14,84.90,3.30,70.31,95.94
15,83.93,3.38,68.75,95.00
16,82.82,3.48,65.31,95.62
17,81.78,3.53,66.56,94.06
18,80.75,3.61,60.94,94.38
19,79.72,3.70,64.06,92.81
20,78.79,3.75,63.44,93.44
21,77.79,3.82,60.94,91.56
22,76.71,3.89,58.75,90.94
23,75.82,3.91,56.88,89.69
24,74.95,3.96,58.44,89.38
25,73.93,4.04,57.19,88.44
26,73.03,4.08,54.69,89.38
27,72.16,4.08,54.69,86.56
28,71.19,4.13,53.12,87.19
29,70.30,4.16,53.44,85.31
30,69.51,4.19,51.25,85.00
31,68.55,4.22,50.00,85.31
32,67.75,4.26,49.38,84.06
33,66.84,4.27,47.81,84.38
34,66.05,4.31,49.06,81.56
35,65.21,4.32,46.88,84.38
36,64.40,4.34,45.31,79.69
37,63.59,4.35,44.06,79.38
38,62.80,4.37,45.00,80.62
39,62.01,4.41,42.19,79.06
40,61.20,4.41,43.75,78.75
41,60.48,4.42,42.50,78.44
42,59.72,4.41,39.38,77.50
43,58.97,4.41,39.69,78.12
44,58.24,4.44,39.69,75.31
45,57.52,4.43,39.69,75.62
46,56.78,4.46,38.75,74.38
47,56.11,4.45,38.75,74.06
48,55.35,4.46,35.62,74.69
49,54.66,4.48,36.25,71.25
50,54.01,4.45,34.38,72.50
51,53.33,4.47,31.56,72.19
52,52.62,4.47,34.06,72.19
53,52.02,4.46,33.75,70.31
54,51.36,4.46,34.06,71.25
55,50.71,4.45,33.75,68.75
56,50.05,4.45,32.50,68.44
57,49.43,4.45,32.50,68.75
58,48.82,4.43,29.38,65.94
59,48.22,4.45,30.00,68.12
60,47.60,4.41,28.12,66.25
61,46.97,4.43,29.38,64.38
62,46.42,4.41,26.88,65.31
63,45.91,4.42,28.12,64.06
64,45.27,4.41,27.50,63.44
65,44.68,4.41,25.62,63.44
66,44.13,4.37,27.50,60.94
67,43.62,4.39,24.38,61.88
68,43.06,4.37,25.00,63.12
69,42.49,4.35,23.44,61.56
70,41.97,4.36,23.75,61.56
71,41.44,4.34,22.81,62.50
72,40.92,4.32,22.19,60.31
73,40.45,4.31,24.69,57.81
74,39.94,4.29,21.56,59.69
75,39.44,4.30,21.25,56.88
76,38.92,4.28,20.00,60.00
77,38.44,4.29,20.00,55.94
78,37.98,4.24,20.94,55.31
79,37.47,4.22,20.94,55.62
80,36.99,4.23,20.94,56.56
81,36.55,4.21,19.38,55.00
82,36.10,4.20,20.00,53.44
83,35.62,4.17,18.75,52.50
84,35.22,4.17,18.75,53.75
85,34.77,4.14,16.56,53.12
86,34.33,4.14,17.50,54.06
87,33.91,4.12,15.94,51.25
88,33.48,4.10,17.50,50.00
89,33.06,4.10,15.94,50.94
90,32.63,4.07,17.50,50.94
91,32.24,4.05,16.88,50.62
92,31.83,4.03,13.12,51.88
93,31.44,4.03,15.31,50.31
94,31.05,4.00,13.44,48.75
95,30.66,3.98,14.37,49.69
96,30.27,3.96,13.75,49.06
97,29.88,3.95,14.06,48.12
98,29.53,3.92,14.69,45.62
99,29.15,3.92,14.06,46.25
100,28.80,3.89,13.44,46.56
